R,G,B,RR,GG,BB,RGB,RG,RB,GB,True R,True G,True B
,,,127449,412164,275625,120326850,229194,187425,337050,,,
,,,622521,793881,688900,583489170,702999,654870,739530,,,
,,,588289,558009,391876,358666074,572949,480142,467622,,,
,,,589824,562500,396900,362880000,576000,483840,472500,,,
,,,562500,544644,404496,352026000,553500,477000,469368,,,
,,,471969,525625,366025,301335375,498075,415635,438625,,,
,,,294849,476100,313600,209815200,374670,304080,386400,,,
,,,264196,456976,318096,195969696,347464,289896,381264,,,
,,,245025,693889,413449,265131405,412335,318285,535619,,,
,,,250000,693889,417316,269059000,416500,323000,538118,,,
,,,227529,685584,416025,254746620,394956,307665,534060,,,
,,,221841,664225,389376,239531760,383865,293904,508560,,,
,,,187489,573049,324900,186835170,327781,246810,431490,,,
,,,159201,544644,315844,165487644,294462,224238,414756,,,
,,,178929,589824,574564,246246912,324864,320634,582144,,,
,,,173889,594441,574564,243702306,321507,316086,584418,,,
,,,177241,579121,562500,240285750,320381,315750,570750,,,
,,,178084,573049,552049,237354322,319454,313546,562451,,,
,,,205209,538756,512656,238071432,332502,324348,525544,,,
,,,170569,509796,483025,204942990,294882,287035,496230,,,
,,,603729,783225,421201,446281605,687645,504273,574365,,,
,,,240100,702244,669124,335887160,410620,400820,685484,,,
,,,591361,527076,505521,396947034,558294,546759,516186,,,
,,,313600,599076,337561,251828640,433440,325360,449694,,,
,,,148225,525625,408321,178360875,279125,246015,463275,,,
,,,357604,484416,393129,260962416,416208,374946,436392,,,
,,,597529,641601,366025,374599665,619173,467665,484605,,,
,,,588289,555025,461041,387990785,571415,520793,505855,,,
,,,318096,719104,390625,298920000,478272,352500,530000,,,
,,,264196,558009,546121,283744962,383958,379846,552033,,,
,,,242064,695556,469225,281074680,410328,337020,571290,,,
,,,603729,652864,529984,457050048,627816,565656,588224,,,
,,,309136,674041,635209,363811372,456476,443132,654337,,,
