R,G,B,RR,GG,BB,RGB,RG,RB,GB,True R,True G,True B
725,856,625,525625,732736,390625,387875000,620600,453125,535000,255,255,10
720,854,620,518400,729316,384400,381225600,614880,446400,529480,255,255,20
730,858,635,532900,736164,403225,397725900,626340,463550,544830,255,255,30
731,860,626,534361,739600,391876,393541160,628660,457606,538360,255,255,40
727,861,620,528529,741321,384400,388087140,625947,450740,533820,255,255,50
734,861,633,538756,741321,400689,400039542,631974,464622,545013,255,255,60
710,852,632,504100,725904,399424,382309440,604920,448720,538464,255,255,70
718,854,648,515524,729316,419904,397335456,613172,465264,553392,255,255,80
716,855,662,512656,731025,438244,405263160,612180,473992,566010,255,255,90
708,852,670,501264,725904,448900,404154720,603216,474360,570840,255,255,100
709,852,678,502681,725904,459684,409558104,604068,480702,577656,255,255,110
711,856,686,505521,732736,470596,417510576,608616,487746,587216,255,255,120
708,854,703,501264,729316,494209,425056296,604632,497724,600362,255,255,130
720,859,720,518400,737881,518400,445305600,618480,518400,618480,255,255,140
721,858,725,519841,736164,525625,448498050,618618,522725,622050,255,255,150
740,866,733,547600,749956,537289,469735720,640840,542420,634778,255,255,160
699,849,744,488601,720801,553536,441527544,593451,520056,631656,255,255,170
716,854,765,512656,729316,585225,467769960,611464,547740,653310,255,255,180
717,856,774,514089,732736,599076,475044048,613752,554958,662544,255,255,190
706,851,776,498436,724201,602176,466225456,600806,547856,660376,255,255,200
717,852,781,514089,725904,609961,477100404,610884,559977,665412,255,255,210
714,854,794,509796,729316,630436,484146264,609756,566916,678076,255,255,220
716,852,801,512656,725904,641601,488635632,610032,573516,682452,255,255,230
723,858,805,522729,736164,648025,499368870,620334,582015,690690,255,255,240
717,860,806,514089,739600,649636,496995720,616620,577902,693160,255,255,250
429,791,792,184041,625681,627264,268756488,339339,339768,626472,0,255,255
442,794,793,195364,630436,628849,278301764,350948,350506,629642,10,255,255
433,796,798,187489,633616,636804,275045064,344668,345534,635208,20,255,255
438,798,798,191844,636804,636804,278920152,349524,349524,636804,30,255,255
444,794,793,197136,630436,628849,279561048,352536,352092,629642,40,255,255
443,794,794,196249,630436,630436,279283148,351742,351742,630436,50,255,255
443,789,792,196249,622521,627264,276825384,349527,350856,624888,60,255,255
447,794,798,199809,630436,636804,283224564,354918,356706,633612,70,255,255
460,799,798,211600,638401,636804,293296920,367540,367080,637602,80,255,255
458,799,793,209764,638401,628849,290192006,365942,363194,633607,90,255,255
477,802,795,227529,643204,632025,304130430,382554,379215,637590,100,255,255
480,802,796,230400,643204,633616,306428160,384960,382080,638392,110,255,255
493,804,798,243049,646416,636804,316304856,396372,393414,641592,120,255,255
516,810,802,266256,656100,643204,335203920,417960,413832,649620,130,255,255
829,813,797,687241,660969,635209,537159669,673977,660713,647961,140,255,255
548,819,796,300304,670761,633616,357254352,448812,436208,651924,150,255,255
565,819,802,319225,670761,643204,371113470,462735,453130,656838,160,255,255
585,829,805,342225,687241,648025,390396825,484965,470925,667345,170,255,255
617,834,805,380689,695556,648025,414235290,514578,496685,671370,180,255,255
634,839,804,401956,703921,646416,427668504,531926,509736,674556,190,255,255
658,845,804,432964,714025,646416,447032040,556010,529032,679380,200,255,255
680,852,808,462400,725904,652864,468122880,579360,549440,688416,210,255,255
715,864,803,511225,746496,644809,496061280,617760,574145,693792,220,255,255
703,852,812,494209,725904,659344,486352272,598956,570836,691824,230,255,255
710,854,806,504100,729316,649636,488710040,606340,572260,688324,240,255,255
722,859,802,521284,737881,643204,497398796,620198,579044,688918,250,255,255
700,709,691,490000,502681,477481,342943300,496300,483700,489919,255,0,255
701,697,701,491401,485809,491401,342506497,488597,491401,488597,255,10,255
707,709,696,499849,502681,484416,348879048,501263,492072,493464,255,20,255
699,703,705,488601,494209,497025,346434885,491397,492795,495615,255,30,255
693,711,696,480249,505521,484416,342935208,492723,482328,494856,255,40,255
701,709,701,491401,502681,491401,348403309,497009,491401,497009,255,50,255
699,720,709,488601,518400,502681,356825520,503280,495591,510480,255,60,255
701,723,707,491401,522729,499849,358323861,506823,495607,511161,255,70,255
694,710,708,481636,504100,501264,348859920,492740,491352,502680,255,80,255
697,727,711,485809,528529,505521,360277209,506719,495567,516897,255,90,255
702,724,713,492804,524176,508369,362380824,508248,500526,516212,255,100,255
704,738,728,495616,544644,529984,378233856,519552,512512,537264,255,110,255
708,754,734,501264,568516,538756,391832688,533832,519672,553436,255,120,255
700,755,734,490000,570025,538756,387919000,528500,513800,554170,255,130,255
709,768,737,502681,589824,543169,401305344,544512,522533,566016,255,140,255
689,773,742,474721,597529,550564,395186974,532597,511238,573566,255,150,255
703,787,764,494209,619369,583696,422691404,553261,537092,601268,255,160,255
709,800,771,502681,640000,594441,437311200,567200,546639,616800,255,170,255
698,798,767,487204,636804,588289,427222068,557004,535366,612066,255,180,255
708,814,775,501264,662596,600625,446641800,576312,548700,630850,255,190,255
706,819,785,498436,670761,616225,453897990,578214,554210,642915,255,200,255
714,828,796,509796,685584,633616,470588832,591192,568344,659088,255,210,255
715,831,795,511225,690561,632025,472361175,594165,568425,660645,255,220,255
702,832,798,492804,692224,636804,466083072,584064,560196,663936,255,230,255
710,844,802,504100,712336,643204,480590480,599240,569420,676888,255,240,255
709,849,800,502681,720801,640000,481552800,601941,567200,679200,255,250,255
558,776,705,311364,602176,497025,305270640,433008,393390,547080,123,123,123
528,762,563,278784,580644,316969,226515168,402336,297264,429006,123,123,0
570,683,611,324900,466489,373321,237868410,389310,348270,417313,123,0,123
403,719,634,162409,516961,401956,183705938,289757,255502,455846,0,123,123
706,773,697,498436,597529,485809,380379386,545738,492082,538781,255,123,123
483,805,683,233289,648025,466489,265560645,388815,329889,549815,123,255,123
466,780,772,217156,608400,595984,280606560,363480,359752,602160,123,123,255
494,805,790,244036,648025,624100,314159300,397670,390260,635950,123,255,255
699,742,722,488601,550564,521284,374471076,518658,504678,535724,255,123,255
704,847,686,495616,717409,470596,409053568,596288,482944,581042,255,255,123
642,817,765,412164,667489,585225,401253210,524514,491130,625005,180,180,180
562,780,716,315844,608400,512656,313865760,438360,402392,558480,140,140,140
366,676,550,133956,456976,302500,136078800,247416,201300,371800,60,60,60
390,673,538,152100,452929,289444,141208860,262470,209820,362074,60,60,0
366,647,546,133956,418609,298116,129293892,236802,199836,353262,60,0,60
358,670,544,128164,448900,295936,130483840,239860,194752,364480,0,60,60
357,659,540,127449,434281,291600,127042020,235263,192780,355860,30,30,0
383,667,535,146689,444889,286225,136671635,255461,204905,356845,30,0,30
383,654,547,146689,427716,299209,137013654,250482,209501,357738,0,30,30
621,800,601,385641,640000,361201,298576800,496800,373221,480800,160,160,0
663,704,676,439569,495616,456976,315524352,466752,448188,475904,160,0,160
425,758,717,180625,574564,514089,230981550,322150,304725,543486,0,160,160
